
index,JNAME,P0,P1,F0,F1,DM,
1,J0002+6216,0.115364,5.97e-15,8.668248,-4.484e-13,218.60,
2,J0006+1834,0.693748,2.10e-15,1.441446,-4.357e-15,11.40,
3,J0007+7303,0.315873,3.60e-13,3.165827,-3.612e-12,,
4,J0011+08,2.552870,,0.391716,,24.90,
5,J0012+5431,3.025301,1.28e-16,0.330546,-1.400e-17,131.30,
6,J0014+4746,1.240699,5.64e-16,0.805997,-3.667e-16,30.41,
7,J0021-0909,2.314131,1.04e-15,0.432128,-1.940e-16,25.20,
8,J0023+0923,0.003050,1.14e-20,327.847021,-1.228e-15,14.33,
9,J0024-7204C,0.005757,-4.99e-20,173.708219,1.504e-15,24.59,
10,J0024-7204D,0.005358,-3.42e-21,186.651670,1.192e-16,24.74,
11,J0024-7204E,0.003536,9.85e-20,282.779107,-7.877e-15,24.24,
12,J0024-7204F,0.002624,6.45e-20,381.158664,-9.371e-15,24.38,
13,J0024-7204G,0.004040,-4.22e-20,247.501525,2.583e-15,24.43,
14,J0024-7204H,0.003210,-1.83e-21,311.493418,1.775e-16,24.38,
15,J0024-7204I,0.003485,-4.59e-20,286.944700,3.777e-15,24.43,
16,J0024-7204J,0.002101,-9.79e-21,476.046858,2.219e-15,24.59,
17,J0024-7204L,0.004346,-1.22e-19,230.087746,6.461e-15,24.40,
18,J0024-7204M,0.003677,-3.84e-20,271.987229,2.842e-15,24.43,
19,J0024-7204N,0.003054,-2.19e-20,327.444319,2.343e-15,24.56,
20,J0024-7204O,0.002643,3.03e-20,378.308788,-4.344e-15,24.36,
21,J0024-7204P,0.003643,6.64e-19,274.497480,-5.000e-14,24.29,
22,J0024-7204Q,0.004033,3.40e-20,247.943237,-2.091e-15,24.28,
23,J0024-7204R,0.003480,1.48e-19,287.318119,-1.225e-14,24.36,
24,J0024-7204S,0.002830,-1.21e-19,353.306209,1.505e-14,24.38,
25,J0024-7204T,0.007588,2.94e-19,131.778699,-5.102e-15,24.42,
26,J0024-7204U,0.004343,9.52e-20,230.264772,-5.049e-15,24.34,
27,J0024-7204V,0.004810,,207.892963,,24.11,
28,J0024-7204W,0.002352,-8.66e-20,425.107796,1.564e-14,24.37,
29,J0024-7204X,0.004772,1.84e-20,209.576695,-8.065e-16,24.54,
30,J0024-7204Y,0.002197,-3.52e-20,455.237178,7.289e-15,24.48,
31,J0024-7204Z,0.004554,-4.54e-21,219.565606,2.190e-16,24.45,
32,J0024-7204aa,0.001840,,543.478261,,24.92,
33,J0024-7204ab,0.003705,9.82e-21,269.931798,-7.155e-16,24.33,
34,J0024-7204ac,0.002740,,364.963504,,24.46,
35,J0024-7204ad,0.003740,,267.379679,,24.41,
36,J0026+6320,0.318358,1.51e-16,3.141120,-1.486e-15,245.06,
37,J0026-1955,1.306150,,0.765609,,20.87,
38,J0030+0451,0.004865,1.02e-20,205.530696,-4.298e-16,4.33,
39,J0032+6946,0.036804,,27.170871,,80.01,
40,J0033+57,0.315000,,3.174603,,75.65,
41,J0033+61,0.912000,,1.096491,,37.70,
42,J0034-0534,0.001877,4.97e-21,532.713430,-1.409e-15,13.77,
43,J0034-0721,0.942951,4.08e-16,1.060500,-4.591e-16,10.92,
44,J0036-1033,0.900009,2.13e-16,1.111100,-2.631e-16,23.10,
45,J0038-2501,0.256926,7.60e-19,3.892164,-1.151e-17,5.71,
46,J0039+35,0.536700,,1.863238,,53.04,
47,J0040+5716,1.118225,2.88e-15,0.894274,-2.302e-15,92.52,
48,J0040-7326,0.398657,5.61e-15,2.508425,-3.527e-14,85.70,
49,J0040-7335,0.145218,2.39e-14,6.886188,-1.131e-12,198.27,
50,J0040-7337,0.059889,3.40e-14,16.697679,-9.491e-12,101.79,
51,J0043-7319,0.937434,9.33e-15,1.066741,-1.062e-14,120.80,
52,J0044-7314,0.396913,1.76e-15,2.519441,-1.118e-14,78.60,
53,J0045-7042,0.632336,2.49e-15,1.581438,-6.227e-15,71.30,
54,J0045-7319,0.926276,4.46e-15,1.079592,-5.202e-15,104.60,
55,J0048+3412,1.217094,2.35e-15,0.821629,-1.589e-15,39.92,
56,J0048-7317,0.079314,3.30e-14,12.608085,-5.249e-12,292.42,
57,J0050+03,1.366560,,0.731764,,26.50,
58,J0051+0423,0.354732,7.00e-18,2.819031,-5.563e-17,13.93,
59,J0051-7204,0.191447,1.38e-14,5.223376,-3.773e-13,159.30,
60,J0054+66,1.390000,,0.719424,,15.00,
61,J0054+6650,1.390217,5.55e-15,0.719312,-2.872e-15,14.60,
62,J0054+69,,,,,90.30,
63,J0054+6946,0.832911,7.19e-16,1.200608,-1.037e-15,116.52,
64,J0054-7228,0.290945,9.56e-15,3.437078,-1.129e-13,92.40,
65,J0055+5117,2.115171,9.54e-15,0.472775,-2.132e-15,44.01,
66,J0056+4756,0.472037,3.33e-15,2.118480,-1.494e-14,18.14,
67,J0057-7201,0.738062,1.00e-16,1.354899,-1.836e-16,27.00,
68,J0058+4950,0.996023,8.04e-16,1.003992,-8.100e-16,66.95,
69,J0058+6125,0.637000,,1.569859,,128.30,
70,J0058-7218,0.021766,2.89e-14,45.942987,-6.100e-11,,
