JNAME,P0,DM
J0002+6216,0.115364,218.60
J0006+1834,0.693748,11.40
J0007+7303,0.315873,
J0011+08,2.552870,24.90
J0012+5431,3.025301,131.30
J0014+4746,1.240699,30.41
J0021-0909,2.314131,25.20
J0023+0923,0.003050,14.33
J0024-7204C,0.005757,24.59
J0024-7204D,0.005358,24.74
J0024-7204E,0.003536,24.24
J0024-7204F,0.002624,24.38
J0024-7204G,0.004040,24.43
J0024-7204H,0.003210,24.38
J0024-7204I,0.003485,24.43
J0024-7204J,0.002101,24.59
J0024-7204L,0.004346,24.40
J0024-7204M,0.003677,24.43
J0024-7204N,0.003054,24.56
J0024-7204O,0.002643,24.36
J0024-7204P,0.003643,24.29
J0024-7204Q,0.004033,24.28
J0024-7204R,0.003480,24.36
J0024-7204S,0.002830,24.38
J0024-7204T,0.007588,24.42
J0024-7204U,0.004343,24.34
J0024-7204V,0.004810,24.11
J0024-7204W,0.002352,24.37
J0024-7204X,0.004772,24.54
J0024-7204Y,0.002197,24.48
J0024-7204Z,0.004554,24.45
J0024-7204aa,0.001840,24.92
J0024-7204ab,0.003705,24.33
J0024-7204ac,0.002740,24.46
J0024-7204ad,0.003740,24.41
J0026+6320,0.318358,245.06
J0026-1955,1.306150,20.87
J0030+0451,0.004865,4.33
J0032+6946,0.036804,80.01
J0033+57,0.315000,75.65
J0033+61,0.912000,37.70
J0034-0534,0.001877,13.77
J0034-0721,0.942951,10.92
J0036-1033,0.900009,23.10
J0038-2501,0.256926,5.71
J0039+35,0.536700,53.04
J0040+5716,1.118225,92.52
J0040-7326,0.398657,85.70
J0040-7335,0.145218,198.27
J0040-7337,0.059889,101.79
J0043-7319,0.937434,120.80
J0044-7314,0.396913,78.60
J0045-7042,0.632336,71.30
J0045-7319,0.926276,104.60
J0048+3412,1.217094,39.92
J0048-7317,0.079314,292.42
J0050+03,1.366560,26.50
J0051+0423,0.354732,13.93
J0051-7204,0.191447,159.30
J0054+66,1.390000,15.00
J0054+6650,1.390217,14.60
J0054+69,,90.30
J0054+6946,0.832911,116.52
J0054-7228,0.290945,92.40
J0055+5117,2.115171,44.01
J0056+4756,0.472037,18.14
J0057-7201,0.738062,27.00
J0058+4950,0.996023,66.95
J0058+6125,0.637000,128.30
J0058-7218,0.021766,
J0059+69,1.145900,63.53
J0100+8023,1.493601,56.01
J0100-7211,8.020392,
J0101-6422,0.002573,11.92
J0102+4839,0.002964,53.50
J0102+6537,1.679164,65.85
J0103+54,0.354304,55.60
J0104+64,1.386000,44.60
J0105-7208,0.306737,120.40
J0106+4855,0.083157,70.90
J0107+1322,1.197383,21.67
J0108+6608,1.283660,30.55
J0108+6905,1.071118,61.06
J0108-1431,0.807565,1.99
J0109+11,0.432700,17.00
J0110-22,1.262000,20.80
J0110-2223,1.261960,20.62
J0111+6624,4.301872,111.20
J0111-7131,0.688542,79.40
J0113-7220,0.325883,125.49
J0115+6325,0.521455,65.07
J0117+5914,0.101439,49.42
J0120+1837,1.313385,13.40
J0121+53,2.724785,91.38
J0122+1416,1.388994,17.69
J0125+62,1.708230,118.00
J0125-2327,0.003675,9.60
J0129+36,1.089000,54.00
J0131-7310,0.348124,205.22
J0133-6957,0.463474,22.95
J0134-2937,0.136962,21.79
J0137+1654,0.414763,26.08
J0137+6349,0.717963,285.50
J0139+3336,1.247961,21.23
J0139+5621,1.775344,101.84
J0139+5814,0.272451,73.81
J0141+6009,1.222949,34.93
J0141+63,0.046686,272.80
J0141+6303,0.046680,272.76
J0146+31,0.938100,25.00
J0146+6145,8.688994,
J0147+5922,0.196321,40.11
J0149+29,2.654000,35.00
J0151-0635,1.464665,25.49
J0152+0948,2.746647,22.88
J0152-1637,0.832742,11.93
J0154+1833,0.002365,19.80
J0156+04,,27.50
J0156+3949,1.811561,59.83
J0157+6212,2.351745,30.21
J0158+21,0.505300,20.00
J0201+7005,1.349184,21.03
J0203-0150,0.005173,19.22
J0205+6449,0.065716,140.70
J0206-4028,0.630551,13.00
J0209+4331,0.863883,57.29
J0209+5759,1.063906,55.28
J0210+5845,1.766219,76.79
J0211+4235,0.350731,49.70
J0211-8159,3.231999,24.36
J0212+5222,0.376386,38.21
J0212+5321,0.002115,25.70
J0214+5222,0.024575,22.04
J0215+6218,0.548880,84.00
J0218+4232,0.002323,61.25
J0220+3626,1.029700,40.00
J0227+3356,1.240102,27.00
J0229+20,0.806900,27.00
J0231+7026,1.466820,46.68
J0241+16,1.545400,20.40
J0242+62,0.592000,3.92
J0243+6027,1.473000,141.00
J0244+14,2.128100,31.00
J0248+4230,0.002601,48.26
J0248+6021,0.217094,370.00
J0250+5854,23.535378,45.28
J0251+2606,0.002542,20.22
J0255-5304,0.447708,17.97
J0301+35,0.568040,57.43
J0302+2252,1.207165,18.99
J0304+1932,1.387584,15.66
J0305+11,0.862100,27.97
J0307+7443,0.003156,6.34
J0311+1402,40.910697,19.90
J0312-0921,0.003704,20.50
J0317+13,1.974300,12.90
J0318+0253,0.005190,25.98
J0323+3944,3.032072,26.19
J0324+5239,0.336620,115.46
J0325+6744,1.364679,65.28
J0329+1654,0.893320,40.82
J0332+5434,0.714520,26.76
J0335+4555,0.269201,47.15
J0335+6623,1.761934,66.73
J0337+1715,0.002733,21.32
J0337+79,2.056210,16.67
J0340+4130,0.003299,49.58
J0341+5711,1.888000,101.00
J0343+06,1.007640,46.00
J0343+5312,1.934478,67.30
J0343-3000,2.597027,20.26
J0344-0901,1.226006,30.90
J0348+0432,0.039123,40.46
J0349+2340,2.420771,62.96
J0355+28,0.364950,48.68
J0357+3205,0.444104,
J0357+5236,0.197030,103.71
J0358+4155,0.226484,46.33
J0358+5413,0.156384,57.14
J0358+6627,0.091506,62.33
J0359+5414,0.079427,
J0401-7608,0.545254,21.75
J0402+4825,0.512194,85.70
J0405+3347,0.063954,53.60
J0406+30,0.002600,49.37
J0406+3039,0.002609,49.38
J0406+6138,0.594576,65.41
J0407+1607,0.025702,35.59
J0408+4955_P,0.011440,73.70
J0408+551,1.837000,55.00
J0408+552,0.754000,63.80
J0410-31,1.878500,9.20
J0413+58,0.687000,57.00
J0414+31,1.081000,64.10
J0414+4859_P,0.806720,72.70
J0415+6111,0.440189,70.80
J0415+6954,0.390715,27.45
J0416+5201_P,0.018250,140.50
J0417+35,0.654400,48.53
J0417+5058_P,0.291360,34.40
J0417+61,0.440283,70.14
J0418+5732,9.078388,
J0418+6635,0.002910,77.56
J0418-4154,0.757119,24.32
J0419+44,1.241000,71.00
J0420+4451,1.241126,71.67
J0420-5022,3.453004,
J0421+3255,0.900105,77.02
J0421-0345,2.161309,44.88
J0426+4933,0.922475,84.30
J0427+4723,2.158436,54.00
J0435+2749,0.326279,53.19
J0437-4715,0.005757,2.65
J0447+2447,0.002995,32.91
J0447-04,2.188190,29.83
J0448-2749,0.450448,26.15
J0449-7031,0.479164,65.83
J0450-1248,0.438014,37.04
J0451-67,0.245454,45.00
J0452-1759,0.548939,39.90
J0452-3418,1.665119,19.78
J0453+1559,0.045782,30.31
J0454+4529,1.389137,20.83
J0454+5543,0.340729,14.59
J0455-6951,0.320423,94.70
J0456-69,0.117073,103.00
J0456-7031,0.800132,100.30
J0457+23,0.504900,59.00
J0457-6337,2.497012,27.50
J0457-69,0.231390,91.00
J0458-0505,1.883480,47.81
J0458-67,1.133900,97.00
J0459-0210,1.133077,21.23
J0501+4516,5.762097,
J0502+4654,0.638565,41.83
J0502-6617,0.691251,68.90
J0506+50,0.003390,43.40
J0509+0856,0.004056,38.33
J0509+37,2.496100,30.00
J0509+3801,0.076541,69.08
J0509-6838,0.278754,149.00
J0509-6845,0.307197,92.60
J0511-6508,0.322062,25.66
J0514+4010_P,2.625490,106.50
J0514-4002A,0.004991,52.14
J0514-4002B,0.002816,52.08
J0514-4002C,0.005565,52.05
J0514-4002D,0.004554,52.22
J0514-4002E,0.005596,51.93
J0514-4002F,0.004329,51.62
J0514-4002G,0.003803,50.96
J0514-4002H,0.005506,52.23
J0514-4002I,0.032654,52.58
J0514-4002J,0.006633,52.02
J0514-4002K,0.004692,51.93
J0514-4002L,0.002959,51.24
J0514-4002M,0.004798,51.68
J0514-4002N,0.005568,51.07
J0514-4408,0.320271,15.12
J0517+2212,0.222367,18.70
J0517+3436_P,1.595840,191.70
J0518+2431,2.636940,73.76
J0518+5125,0.912512,39.24
J0518+5416,0.340203,42.33
J0518-6939,0.330210,254.20
J0518-6946,1.690414,82.00
J0519+44,0.515000,52.00
J0519-6931,0.377736,82.70
J0519-6932,0.263212,118.86
J0520+3722_P,0.007920,89.00
J0520-2553,0.241642,33.72
J0521-68,0.433421,136.00
J0522-6847,0.674532,126.45
J0523-7125,0.322500,157.50
J0525+1115,0.354438,79.41
J0525-6607,8.047000,
J0526+3158_P,0.023000,155.00
J0528+2200,3.745539,50.87
J0528+3529_P,0.078234,111.84
J0529-0715,0.689224,87.30
J0529-6652,0.975737,103.31
J0530-3847,0.906502,48.56
J0530-39,0.907000,48.50
J0532-6639,0.642743,69.20
J0532-69,1.149196,124.00
J0533+0402,0.963018,83.86
J0533+6759,0.004388,57.37
J0533-4524,0.157285,18.93
J0534+2200,0.033392,56.77
J0534+34,,24.50
J0534-13,0.979000,74.30
J0534-6703,1.817565,95.30
J0534-6905,0.842782,244.00
J0535-66,0.210524,75.00
J0535-6935,0.200511,93.70
J0536-7543,1.245856,18.58
J0537-69,0.112613,273.00
J0537-6910,0.016122,
J0538+2817,0.143158,39.57
J0540+3207,0.524271,61.97
J0540+4542,0.401141,56.12
J0540-6919,0.050570,147.20
J0540-69_P,0.909000,52.70
J0540-7125,1.286015,29.41
J0541+2959_P,0.003210,67.30
J0541+3335_P,0.113650,89.20
J0542-68,0.425189,114.00
J0543+2329,0.245975,77.70
J0543-6851,0.708954,134.90
J0544+20,,56.90
J0545-03,1.073930,67.20
J0546+2441,2.843850,73.81
J0550+09,1.745000,86.60
J0553+4111,0.559493,37.90
J0554+3107,0.464961,
J0555+3948,1.146906,36.10
J0555-7056,0.827838,72.90
J0556-67,0.790549,71.00
J0557+1550,0.002556,102.57
J0557+2442_P,1.482160,195.10
J0557-2948,0.043643,49.03
J0600-5756,2.261365,30.00
J0601-0527,0.395969,80.54
J0605+1937_P,0.698190,116.80
J0605+3757,0.002728,20.95
J0608+00,1.076200,48.50
J0608+1635,0.945845,86.08
J0609+2130,0.055698,38.73
J0610-2100,0.003861,60.67
J0611+04,1.674430,69.90
J0611+1436,0.270329,43.99
J0611+30,1.412090,45.26
J0612+3721,0.297982,27.15
J0612+37216,0.443871,39.27
J0613+3731,0.619198,18.99
J0613-0200,0.003062,38.78
J0614+2229,0.334960,96.91
J0614+83,1.039200,44.20
J0614-3329,0.003149,37.05
J0620+1711_P,0.441030,146.90
J0621+0336,0.269954,72.54
J0621+1002,0.028854,36.56
J0621+2514,0.002722,83.63
J0621-55,,22.00
J0622+0339_P,0.008772,79.42
J0622+3749,0.333208,
J0623+0220_P,0.472200,32.10
J0623+0340,0.613760,54.00
J0624-0424,1.039077,70.83
J0625+10,0.498397,78.00
J0625+1403_P,0.727910,134.50
J0627+0649,0.346523,86.67
J0627+0706,0.475885,138.22
J0627+16,2.180000,113.00
J0628+0909,1.241421,88.30
J0629+2415,0.476623,84.18
J0630+1002_P,2.881470,149.30
J0630+19,1.248550,48.10
J0630-0046,0.680575,97.90
J0630-2834,1.244427,34.42
J0631+0646,0.110979,195.20
J0631+1036,0.287841,125.31
J0633+0632,0.297395,
J0633+1746,0.237099,2.89
J0633-2015,3.253211,90.70
J0635+0533,0.033856,
J0636+5128,0.002869,11.11
J0636-23,0.476000,59.12
J0636-3044,0.003946,15.46
J0636-4549,1.984597,26.31
J0637+0332_P,,152.00
J0639+0828_P,,290.10
J0639-0704,0.986486,105.06
J0640-0139,0.003461,149.98
J0641+0359_P,0.646210,160.40
J0641+0448_P,0.025670,155.10
J0641+07,,52.00
J0642+0238_P,0.729130,146.70
J0643+0350_P,1.144860,122.00
J0645+5158,0.008853,18.25
J0645+80,0.657870,49.70
J0646+0905,0.903913,149.70
J0646-54,0.002510,40.10
J0646-5455,0.002507,40.23
J0647+0913,1.234854,154.70
J0648-27,4.169000,132.50
J0651-0055_P,1.050700,150.00
J0652-0142,0.924054,116.30
J0653+0443_P,0.047530,27.30
J0653+4706,0.004758,25.54
J0653+8051,1.214441,33.32
J0653-06,0.790000,83.70
J0656-2228,1.224754,32.53
J0656-5449,0.183157,66.12
J0658+0022,0.563295,115.60
J0658+2936,0.823701,39.00
J0659+1414,0.384929,13.95
J0659-36,0.637000,83.40
J0700+6418,0.195671,8.77
J0702-4956,0.665994,98.70
J0709+0458,0.034429,44.27
J0709-5923,0.485268,65.00
J0711+0931,1.214090,46.24
J0711-6830,0.005491,18.41
J0719-2545,0.974729,253.72
J0720-3125,8.391116,
J0721-2038,0.015542,76.01
J0723-2050,0.711540,130.00
J0725-1635,0.424311,98.98
J0726-2612,3.442308,69.40
J0729-1448,0.251709,91.93
J0729-1836,0.510176,61.23
J0732+2314,0.004090,44.67
J0733-2345,1.796250,190.20
J0734+14,1.772000,50.00
J0734-1559,0.156250,
J0736-6304,4.862874,19.40
J0737-2202,0.320370,95.57
J0737-3039A,0.022699,48.92
J0737-3039B,2.773461,48.92
J0738+6904,6.827693,17.22
J0738-4042,0.374921,160.90
J0740+6620,0.002886,14.96
J0741+17,1.730000,44.30
J0742+4110,0.003139,20.81
J0742+4334,0.606191,36.26
J0742-2822,0.166762,73.76
J0744-2525,0.091996,
J0745-5353,0.214839,121.38
J0746-4529,2.791025,134.57
J0747+6646,0.407701,27.58
J0749+5720,1.174929,26.70
J0749-4247,1.095453,104.59
J0750+57,1.174870,26.70
J0750-6846,0.915216,54.60
J0751+1807,0.003479,30.24
J0753-0816,2.093620,38.00
J0754+3231,1.442349,39.99
J0758-1528,0.682265,63.33
J0758-30,1.092000,86.50
J0758-3002,1.091870,86.34
J0802-5613,0.273973,
J0803+34,,34.00
J0803-0942,0.571257,21.10
J0804-3647,2.191987,186.80
J0806+08,2.063100,46.00
J0806-4123,11.370386,
J0807-5421,0.526644,165.83
J0808-3937,0.866349,169.10
J0809-4753,0.547202,228.68
J0811+37,1.248300,16.95
J0812-3905,0.482596,329.60
J0813+22,0.531400,52.29
J0814+7429,1.292241,5.75
J0815+0939,0.645161,52.66
J0815+4611,0.434242,11.27
J0818-3049,0.763742,118.90
J0818-3232,2.161259,131.69
J0820-1350,1.238130,40.94
J0820-3826,0.124837,195.50
J0820-3921,1.073567,179.40
J0820-4114,0.545446,112.77
J0821-4221,0.396730,270.61
J0821-4300,0.112799,
J0823+0159,0.864873,23.73
J0824+0028,0.009861,34.55
J0826+2637,0.530661,19.48
J0827+53,0.013500,23.10
J0828-3417,1.848919,51.60
J0831-4406,0.311674,254.00
J0834-4159,0.121118,240.50
J0834-60,0.384645,20.00
J0835-3707,0.541404,112.40
J0835-4510,0.089328,67.77
J0836-4233,0.738436,180.00
J0837+0610,1.273768,12.86
J0837-2454,0.629410,143.10
J0837-4135,0.751625,147.19
J0838-2621,0.308581,116.91
J0838-2827,0.003615,80.66
J0838-3947,1.703946,219.00
J0839-66,0.449339,83.00
J0840-5332,0.720614,157.37
J0842-4851,0.644367,196.69
J0843+0719,1.365860,36.60
J0843+67,0.002846,20.70
J0843-5022,0.208956,178.44
J0846-3533,1.116099,94.16
J0847-4316,5.977493,292.50
J0848+16,0.452400,38.00
J0849+8028,1.602228,34.81
J0849-6322,0.367954,91.31
J0853-4648,0.473156,304.00
J0854+5449,1.233033,18.84
J0855-3331,1.267541,86.40
J0855-4644,0.064686,236.40
J0855-4658,0.575072,472.70
J0856-6137,0.962511,95.72
J0857+3349,0.242961,24.00
J0857-4424,0.326793,184.43
J0900-3144,0.011110,75.69
J0901-4046,75.885547,52.00
J0901-4624,0.442058,198.96
J0902-6325,0.660314,72.80
J0904-4246,0.965174,145.88
J0904-7459,0.549554,49.20
J0905-4536,0.988281,196.40
J0905-5127,0.346310,196.43
J0905-6019,0.340854,91.40
J0907-5157,0.253558,103.66
J0908-1739,0.401626,15.88
J0908-4913,0.106771,180.16
J0909-7212,1.362890,54.23
J0910+77,1.579050,
J0911-42,1.940636,162.20
J0912-3851,1.526085,71.50
J0916-5243,1.310444,162.60
J0917-4413,0.052905,123.80
J0919-42,0.812600,57.80
J0919-6040,1.216976,82.50
J0921+6254,1.567994,13.15
J0921-5202,0.009680,122.71
J0922+0638,0.430632,27.30
J0922-4534,0.004417,113.93
J0922-4949,0.950357,237.31
J0923-31,,72.00
J0924-5302,0.746344,153.40
J0924-5814,0.739505,57.09
J0925+6103,0.005983,21.64
J0927+2345,0.761889,17.24
J0927-5242,0.327951,296.00
J0928+06,2.060400,49.80
J0928+30,2.091500,21.95
J0930-1854,,33.00
J0930-2301,1.807069,78.30
J0931-1902,0.004638,41.49
J0932-3217,1.931627,102.10
J0932-5327,4.392159,118.56
J0933-4604,3.669910,123.00
J0934-4154,0.570409,113.79
J0934-5249,1.444778,100.37
J0935+33,0.961500,18.35
J0936-4750,0.522581,113.00
J0940-5428,0.087569,134.83
J0941-39,0.586778,78.00
J0941-5244,0.658559,157.94
J0942-5552,0.664389,180.19
J0942-5657,0.808171,160.13
J0943+1631,1.087418,20.34
J0943+2253,0.532975,27.25
J0943-5305,1.734000,174.00
J0944+4106,2.229431,21.41
J0944-1354,0.570264,12.50
J0945-4833,0.331586,98.10
J0946+0951,1.097706,15.32
J0947+2740,0.851014,29.09
J0948-5549,0.166095,178.00
J0949-6902,0.640016,93.00
J0951-71,0.212378,77.00
J0952-0607,0.001414,22.41
J0952-3839,1.373816,162.78
J0953+0755,0.253065,2.97
J0954-5430,0.472866,201.16
J0954-5754,0.004835,307.35
J0955-3947,0.002023,130.71
J0955-5304,0.862123,156.74
J0955-6150,0.001999,160.90
J0957-0619,1.723700,26.95
J0957-5432,0.203557,226.10
J0959-4809,0.670086,92.64
J1000+08,0.440372,21.00
J1000-5149,0.255677,72.80
J1001-5507,1.436639,130.29
J1001-5559,1.661177,158.04
J1001-5603,0.379533,235.30
J1001-5939,7.733640,113.00
J1002-5559,0.777501,426.00
J1002-5919,0.713489,347.00
J1003+41,0.880000,30.00
J1003-4747,0.307074,98.27
J1005+30,,17.50
J1006-6311,0.835797,195.99
J1010+15,,42.00
J1012+5307,0.005256,9.02
J1012-2337,2.517945,22.51
J1012-4235,0.003101,71.65
J1012-5830,2.133591,294.00
J1012-5857,0.819929,382.60
J1013-5934,0.442901,379.47
J1014-48,1.508800,87.00
J1015-5359,0.020800,30.80
J1015-5719,0.139920,277.79
J1016-5345,0.769586,67.30
J1016-5819,0.087834,252.16
J1016-5857,0.107386,393.62
J1017+3011,0.452785,27.15
J1017-5621,0.503463,437.88
J1017-7156,0.002339,94.21
J1018-1523,0.083153,17.16
J1018-1642,1.804696,49.16
J1019-5749,0.162513,1039.90
J1020-5510,0.003943,134.80
J1020-5921,1.238305,80.00
J1020-6026,0.140481,446.00
J1020-6158,0.282879,363.00
J1021-5601,0.670026,212.00
J1022+1001,0.016453,10.26
J1022-5813,1.643726,714.00
J1023+0038,0.001688,14.32
J1023-5746,0.111472,
J1024-0719,0.005162,6.49
J1028-5819,0.091403,96.53
J1030-6008,0.027324,370.80
J1031-6117,0.306411,506.80
J1032-5206,2.407622,139.00
J1032-5804,0.078741,819.00
J1032-5911,0.464213,418.20
J1034-3224,1.150591,51.76
J1034-5817,0.791480,579.00
J1034-5934,0.034471,603.80
J1035-6345,0.579577,189.70
J1035-6720,0.002872,84.17
J1036-4353,0.001680,61.12
J1036-4926,0.510370,136.43
J1036-6559,0.533502,158.36
J1036-8317,0.003408,27.09
J1038+0032,0.028852,26.34
J1038-5831,0.661993,72.78
J1039-6108,0.271553,488.20
J1039-6208,1.246563,281.80
J1041-1942,1.386369,33.62
J1042-5521,1.170868,306.76
J1043-6116,0.288605,448.76
J1044-5737,0.139029,
J1045-0436,0.024048,4.82
J1045-4509,0.007474,58.11
J1046+0304,0.326271,24.98
J1046-5813,0.369428,239.99
J1047-3032,0.330328,52.82
J1047-6709,0.198453,116.16
J1048+2339,0.004665,16.65
J1048+5349,2.730862,27.30
J1048-5832,0.123740,128.68
J1048-5838,1.231305,70.70
J1049+5822,0.727618,12.36
